Title,Created Date,Modified Date,Link,Rating,Action,Notes,More Notes,New Category,Sub Category,Display Sequence,Audience,URL
Attach,6/27/2017,6/27/2017,Attach,1,Keep,,"Instead of How to, can we rename Advanced Features?",Getting Started,Workspace,0,User,//play.vidyard.com/Xqot5EyGSBzNz79EQAznpY.html?v=3.1.1
Bluescape Basics May 3,5/3/2017,5/10/2017,Bluescape Basics May 3,1,Keep,,Leave Open Sessions in for 60 days,Do More with Bluescape,Open Sessions,2,User,//play.vidyard.com/GJ5jRRgwdkj4dPjdHh3rRb.html?v=3.1.1
Create a Workspace,2/13/2017,2/13/2017,Create a Workspace,1,Keep,,Leave Open Sessions in for 60 days,Getting Started,Bluescape Portal,3,User,//play.vidyard.com/FhEtvA89KC8S1FJSkdtoTF.html?v=3.1.1
Introduction to Bluescape,11/3/2016,11/16/2016,Introduction to Bluescape,1,Keep,"Going to look through videos and see if we repeat this elsewhere, otherwise, we'll keep",,Introduction to Bluescape,About,1,User,//play.vidyard.com/GZYeG2Vamax5EmafmBT7eb.html?v=3.1.1
Meeting in Bluescape - June 14,6/14/2017,6/14/2017,Meeting in Bluescape - June 14,1,Keep,,Leave Open Sessions in for 60 days,Do More with Bluescape,Open Sessions,0,User,/play.vidyard.com/JFSpk7H96BM5RDJK8Ysd5c.html?v=3.1.1
Meeting in Bluescape - May 17,5/17/2017,6/14/2017,Meeting in Bluescape - May 17,1,Keep,,Leave Open Sessions in for 60 days,Do More with Bluescape,Open Sessions,2,User,//play.vidyard.com/BoTPwALsZFUTE6MZRKzPbW.html?v=3.1.1
New Features - May 24,5/30/2017,6/14/2017,New Features - May 24,1,Keep,,Leave Open Sessions in for 60 days,Do More with Bluescape,Open Sessions,1,User,//play.vidyard.com/MKDzezXA5VeewR1GuEaQ9g.html?v=3.1.1
Text,4/26/2017,4/26/2017,Text,1,Keep,,,Getting Started,Workspace,6,User,//play.vidyard.com/3NipNaiRxkjhcDVEeJfHzg.html?v=3.1.1
Text — Bluescape's Text Editor,4/7/2017,4/7/2017,Text — Bluescape's Text Editor,1,Keep,,,Getting Started,Workspace,11,User,//play.vidyard.com/7Ddznn6ThbaxbwmyGhUSKF.html?v=3.1.1
Tips & Tricks - May 10,5/10/2017,6/14/2017,Tips & Tricks - May 10,1,Keep,,Leave Open Sessions in for 60 days,Do More with Bluescape,Open Sessions,3,User,//play.vidyard.com/TsXR2R3kh2TZ2HDkXPH3NW.html?v=3.1.1
Virtual Storyboarding with Bluescape,7/15/2016,4/7/2017,Virtual Storyboarding with Bluescape,1,Keep,,,How others use Bluescape,Whitepapers & Case Studies,1,User,//play.vidyard.com/UAwS42RrpMQLCkG3y5CvQ8.html?v=3.1.1
